交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2017-09-17 21:14:02,`wx33557f267290a3c5,`1486689172,`0,`,`4004852001201709172697759397,`20170000000000001373,`onpKBv2xnr3EETe2G5Kwrkyr_UVY,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`{\"sys_order_num\":\"201709172113530000001503\"},`0.00000,`1.00%
`2017-09-17 21:19:58,`wx33557f267290a3c5,`1486689172,`0,`,`4004852001201709172698055284,`20170000000000001388,`onpKBv2xnr3EETe2G5Kwrkyr_UVY,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`{\"sys_order_num\":\"201709172119130000001518\"},`0.00000,`1.00%
`2017-09-17 21:06:52,`wx33557f267290a3c5,`1486689172,`0,`,`4004852001201709172702437548,`20170000000000001365,`onpKBv2xnr3EETe2G5Kwrkyr_UVY,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`{\"sys_order_num\":\"201709172106330000001483\"},`0.00000,`1.00%
`2017-09-17 21:16:40,`wx33557f267290a3c5,`1486689172,`0,`,`4004852001201709172702949356,`20170000000000001378,`onpKBv2xnr3EETe2G5Kwrkyr_UVY,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`{\"sys_order_num\":\"201709172116310000001508\"},`0.00000,`1.00%
`2017-09-17 12:54:19,`wx33557f267290a3c5,`1486689172,`0,`,`4007872001201709172603230138,`20170000000000001169,`onpKBv2yQCcF38LEWBfHpPxMKXD8,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
`2017-09-17 13:00:49,`wx33557f267290a3c5,`1486689172,`0,`,`4007872001201709172606958371,`20170000000000001175,`onpKBv2yQCcF38LEWBfHpPxMKXD8,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
`2017-09-17 13:17:42,`wx33557f267290a3c5,`1486689172,`0,`,`4007872001201709172609090013,`20170000000000001193,`onpKBv2yQCcF38LEWBfHpPxMKXD8,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.01000,`1.00%
`2017-09-17 13:44:58,`wx33557f267290a3c5,`1486689172,`0,`,`4007872001201709172616426625,`20170000000000001212,`onpKBv2yQCcF38LEWBfHpPxMKXD8,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
总交易单数,总交易额,总退款金额,总企业红包退款金额,手续费总金额
`48,`1.46,`0.01,`0.00,`0.01000
